image,text
data/raw/newspaper/textbox_38_line_1_.png,ہوٹل کی پارکنگ بہت بڑی ہے۔ ہوٹل کی سیکیورٹی
data/raw/newspaper/textbox_38_line_2_.png,کا نظام بہت اچھا ہے۔ ہوٹل کا کھانا لذیذ ہے۔
data/raw/newspaper/textbox_39_line_2_.png,ہوٹل کا رینٹ بہت زیادہ ہے۔
data/raw/newspaper/7845.png,میں ایک اجلاس بھی نہ ہو سکا۔ افسوسناک پہلو ہے کہ
data/raw/newspaper/7846.png,اب تک اس قائمہ کمیٹی کا چیئرمین بھی منتخب نہیں
data/raw/newspaper/7847.png,کیا گیا۔ 20 پارلیمانی کمیٹیوں کے سال بھر میں 10 سے
data/raw/newspaper/7848.png,بھی کم اجلاس بلائے گئے۔ ان میں مواصلات، خارجہ امور،
data/raw/newspaper/7849.png,ہاؤسنگ، اطلاعات و نشریات، داخلہ، پورٹس اینڈ شپنگ، پوسٹل سروسز،
data/raw/newspaper/7850.png,ریلویز، مذہبی امور، دفاعی پیداوار، اقتصادی امور، صنعت و پیداوار،
data/raw/newspaper/7851.png,امور کشمیر، انسداد منشیات، منصوبہ بندی و ترقیات، خصوصی اقدامات،
data/raw/newspaper/7852.png,سرحدی و ریاستی امور شامل ہیں۔ اس حقیقت کو بھی
data/raw/newspaper/7853.png,نظر انداز نہیں کرنا چاہئے کہ خارجہ تعلقات اور داخلی سلامتی
data/raw/newspaper/7854.png,سے متعلق مسائل پورے سال کے دوران پارلیمان اور عوامی
data/raw/newspaper/7855.png,توجہ کا مرکز رہے ہیں۔ امریکی دھمکیاں، ڈرون حملے، آئی ایس
data/raw/newspaper/7856.png,آئی اور سی آئی اے کے کشیدہ تعلقات، امریکی امداد
data/raw/newspaper/7857.png,میں کٹوتی، حقانی نیٹ ورک کے معاملات، ملا عمر اور
data/raw/newspaper/7858.png,شوریٰ افغان کی موجودگی، 2 مئی کو ایبٹ آباد میں
data/raw/newspaper/7859.png,امریکی فوج کے خفیہ آپریشن کے ذریعے اسامہ کی ہلاکت
data/raw/newspaper/7860.png,نے قومی تاریخ پر گہرے اثرات مرتب کئے مگر پلڈاٹ
data/raw/newspaper/7861.png,نے تجزیاتی رپورٹ میں کہا کہ خارجہ تعلقات کمیٹی کسی
data/raw/newspaper/7862.png,ایک واقعے کو زیر بحث نہ لا سکی۔ خارجہ کمیٹی کے جس
data/raw/newspaper/7863.png,کے سربراہ اے این پی کے صدر اسفند یار ولی
data/raw/newspaper/7864.png,ہیں سال (یکم جولائی 2010 تا 25 اکتوبر 2011) میں صرف
data/raw/newspaper/8886.png,کردی ہیں اور پی آئی اے سے ان طیاروں کی
data/raw/newspaper/8887.png,سروس کا مکمل ریکارڈ طلب کیا ہے جبکہ مزید کسی
data/raw/newspaper/8888.png,پرواز کیلئے مخصوص ٹیکنکل سرٹیفیکیٹ کی شرط بھی لاگو کی
data/raw/newspaper/8889.png,ہے۔ ذرائع کے مطابق ان طیاروں کو بنانے والے فرانسیسی مینو فیکچر رزبی
data/raw/newspaper/8890.png,آئی اے کو تجویز کیا تھا کہ اگر ان طیاروں
data/raw/newspaper/8891.png,کو زیادہ درجہ حرارت والے علاقوں میں آپریٹ کیا جائے
data/raw/newspaper/8892.png,تو ان طیاروں کے انجنوں کو ٹھنڈار رکھنے کیلئے انہیں
data/raw/newspaper/8893.png,روزانہ دھونا چاہیے، جبکہ اس کے برعکس اس تجویز پر
data/raw/newspaper/8894.png,عمل نہیں کیا گیا تھا جس کے بعد متواتر اے ٹی
data/raw/newspaper/8896.png,کراچی (اسٹاف رپورٹر) کراچی چیمبر آف کامرس اینڈ انڈسٹری کے صدر محمد
data/raw/newspaper/8897.png,سعید شفیق نے فیڈرل بورڈ آف ریونیو کی طرف سے
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_50_PM.jpeg,دائرے میں گھومنے والوں کو کبھی منزل نہیں ملتی، اگر سمت درست کرنی ہو تو سب سے پہلے اس دائرے کو توڑنا پڑتا ہے، سوال یہ ہے کہ یہ دائرہ ٹوٹے گا کیسے؟ یہی وہ سوال ہے جس پر سنجیدگی سے غور کی ضرورت ہے۔
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_51_PM__1_.jpeg,کے جاتے ہی اس مکان لو دفنا دیا جاتا ہے کیونکہ یہ کسی اور کو کرائے پر نہیں دیا جا سکتا، اس کا آخری ٹھکانہ قبر ہوتی ہے جہاں سے اُسے یوم حشر اُٹھایا جائے گا۔ میں نے ایک دو ویڈیو دیکھی ہیں جن میں سی ڈی اے کے اہلکار قبروں کے کتبے اور تعویز اکھاڑ کر دوسری جگہ لے جا رہے ہیں کیا قبر صرف ایک سنگ و خشت کا جہاں ہوتی ہے؟ جس کا پتھر اکھاڑ کر جہاں چاہو لگا دو۔ یہ
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_51_PM__2_.jpeg,ہیں اور وینکور میں زندگی گزار چکے ہیں اس لیے انہیں یہ بات عجوبہ نظر آ رہی ہے انہوں نے ایک واقعہ سنایا کہ وینکور میں ایک سڑک بنانا تھی، مگر اس سڑک پر پیپل کے دو بڑے درخت راستے میں آتے تھے جب یہ تجویز آئی کہ ان درختوں کو کاٹ دیا جائے تو ایک طوفان برپا ہو گیا۔ لوگوں کی حد درجہ مخالفت کے بعد ان
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_51_PM.jpeg,بنائی گئی اور وہ درخت بچا لئے گئے۔ ہمارے ہاں اول تو درختوں کے قتل عام کا کوئی نوٹس نہیں لیا جاتا، لاہور جیسے شہر میں بھی سنگدل افسر صاحبان کسی سڑک کو بنانے کیلئے گھنے اور پرانے درختوں کے گلے کاٹ دیتے ہیں۔ یہ بھی کہا جاتا ہے درخت ہی تو ہیں اور لگا دیں گے اور اگا دیں گے۔ صاحبو! یہ بات ہضم ہوتی رہی ہے مگر یہ سی ڈی اے کو کیا سوجھی کہ دو سو قبروں کو اکھاڑنے کا منصوبہ لے آیا۔ ہمارے ایک پروفیسر
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_52_PM__1_.jpeg,نئی قبروں میں منتقل کیا جائے گا؟ اگر صرف کتبے اور پتھر منتقل کر کے قبروں کی زمین کو صاف کر دینا ہے تو پھر اس سے بڑا ظلم کیا ہو سکتا ہے کہ آپ اس جگہ کا نام و نشان مٹا دیں جہاں لوگوں نے اپنے پیاروں کو دفن کیا تھا اور ان کے جسد خاکی اب بھی اس زمین میں موجود ہوں گے۔ میرے خیال میں وفاقی دارالحکومت کے بارے میں ایسے فیصلے کرتے ہوئے سی ڈی اے کے
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_52_PM__2_.jpeg,مجالوں کی دنیا میں ہمارا نمبر پہلا ہے۔ مجال ہے کوئی ملک اس معاملے میں ہماری ہمسری کر سکے۔ میرے بڑے بھائی رائے محمد فاروق نے جب سے یہ خبر سنی ہے کہ اسلام آباد کے سوہان قبرستان کی دو سو قبروں کو دوسری جگہ منتقل کیا جا رہا ہے کیونکہ ان قبروں کی جگہ پر ایک راستہ نکالنا ہے جو سوہان کو گلبرگ گرین سے ملائے گا وہ انگشت بدنداں ہیں وہ چونکہ کینیڈا کے شہری ہیں اور وینکور میں زندگی گزار چکے ہیں اس لیے
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_52_PM__3_.jpeg,تاہم یہ سوہان قبرستان والا سی ڈی اے کا فیصلہ کچھ ہضم نہیں ہو رہا۔ عام حالات میں کسی قبرستان کا حکم عدالت سے لیا جاتا ہے۔ قبر ایک دن کی ہو یا سو سال کی، اُس کی حرمت کو ہر قیمت مدنظر رکھا جاتا ہے۔ سی ڈی اے کے وہ کون افسر ہیں جنہوں نے سڑک بنانے کیلئے قبرستان کی زمین پر شب خون مارنے کا فیصلہ کیا۔ دو سو
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_52_PM.jpeg,کے من میں آ جائے کر گزرتے ہیں اُس وقت انہیں پوچھنے والا کوئی نہیں ہوتا ہاں آگے چل کر وہ اگر تاریخ کے ہیر پھیر میں آ جائیں تو تاریخ یہ فیصلہ کرتی ہے کہ انہوں نے اچھا کام کیا یا بڑے ظلم کے مرتکب ہوئے۔ اس حوالے سے حالیہ دنوں میں دو مثالیں سامنے آ چکی ہیں۔ وفاقی آئینی عدالت نے کراچی کے نسلہ ٹاور اور اسلام آباد کے منال ریسٹورنٹ کو گرانے والے
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_53_PM.jpeg,سرکار کے دریا سے روکے روچکے کا نقصان ان فیصلوں کی وجہ سے ہوا۔ کراچی کے نسلہ ٹاور میں سفید پوش لوگوں کے گھر اور فلیٹس تھے جن سے انہیں محروم کر دیا گیا، فیصلہ کرنے والے اُس وقت کے جج نجانے کس ترنگ میں تھے وہ فیصلہ کر کے چلے گئے۔ اب ان کا فیصلہ کالعدم تو ہو گیا ہے مگر اُس نقصان کا ازالہ کیسے ہو گا جو چکا ہے اتنے بڑے فیصلے کس آسانی سے کر
data/raw/newspaper/1.png,وانگچک کی بھوک ہڑتال کا اتنا ہزارے سے موازنہ
data/raw/newspaper/2.png,پہلے بھارتیہ جنتا پارٹی (بی جے پی) اپوزیشن میں تھی، جب کہ
data/raw/newspaper/20.png,یہ واقعی بہترعلامات ہیں۔
data/raw/newspaper/3.png,اب بی جے پی مرکز میں بر سر اقتدار ہے
data/raw/newspaper/4.png,سونم وانگچک نے 28 جون کو بھوک ہڑتال شروع کی تھی
data/raw/newspaper/5.png,دہلی ہائی کورٹ نے ایک پی آئی ایل پر سماعت کرتے ہوئے کہا
data/raw/newspaper/6.png,ملک بھر میں توجہ کا مرکز بنے ہوئے ہیں
data/raw/newspaper/79.png,پاکستان
data/raw/newspaper/8.png,کیونکہ 'ہر ایک شہری کی جان قیمتی ہے۔'
data/raw/newspaper/80.png,سندھ
data/raw/newspaper/81.png,پاکستان بننے سے پہلے، پاکستان بننے کے بعد، پاکستان بننے کے بعد
data/raw/newspaper/82.png,ب
data/raw/newspaper/83.png,کہانی شاہی اینٹ کی
data/raw/newspaper/84.png,یادگار عمارت
data/raw/newspaper/85.png,آپ کو اس دیوان کی خاص بات بتاؤں!
data/raw/newspaper/86.png,شیخ چلی نے انگریزی سیکھی
data/raw/newspaper/87.png,جو وعدہ کرو، اسے پورا کرو
data/raw/newspaper/88.png,ارض پاکستان
data/raw/newspaper/89.png,اخوت
data/raw/newspaper/90.png,ہمارے ہادی ہمارے رہبر خاتم النبیین ﷺ
