image,text
data/raw/newspaper/textbox_38_line_1_.png,ہوٹل کی پارکنگ بہت بڑی ہے۔ ہوٹل کی سیکیورٹی
data/raw/newspaper/textbox_38_line_2_.png,کا نظام بہت اچھا ہے۔ ہوٹل کا کھانا لذیذ ہے۔
data/raw/newspaper/textbox_39_line_2_.png,ہوٹل کا رینٹ بہت زیادہ ہے۔
data/raw/newspaper/7845.png,میں ایک اجلاس بھی نہ ہو سکا۔ افسوسناک پہلو ہے کہ
data/raw/newspaper/7846.png,اب تک اس قائمہ کمیٹی کا چیئرمین بھی منتخب نہیں
data/raw/newspaper/7847.png,کیا گیا۔ 20 پارلیمانی کمیٹیوں کے سال بھر میں 10 سے
data/raw/newspaper/7848.png,بھی کم اجلاس بلائے گئے۔ ان میں مواصلات، خارجہ امور،
data/raw/newspaper/7849.png,ہاؤسنگ، اطلاعات و نشریات، داخلہ، پورٹس اینڈ شپنگ، پوسٹل سروسز،
data/raw/newspaper/7850.png,ریلویز، مذہبی امور، دفاعی پیداوار، اقتصادی امور، صنعت و پیداوار،
data/raw/newspaper/7851.png,امور کشمیر، انسداد منشیات، منصوبہ بندی و ترقیات، خصوصی اقدامات،
data/raw/newspaper/7852.png,سرحدی و ریاستی امور شامل ہیں۔ اس حقیقت کو بھی
data/raw/newspaper/7853.png,نظر انداز نہیں کرنا چاہئے کہ خارجہ تعلقات اور داخلی سلامتی
data/raw/newspaper/7854.png,سے متعلق مسائل پورے سال کے دوران پارلیمان اور عوامی
data/raw/newspaper/7855.png,توجہ کا مرکز رہے ہیں۔ امریکی دھمکیاں، ڈرون حملے، آئی ایس
data/raw/newspaper/7856.png,آئی اور سی آئی اے کے کشیدہ تعلقات، امریکی امداد
data/raw/newspaper/7857.png,میں کٹوتی، حقانی نیٹ ورک کے معاملات، ملا عمر اور
data/raw/newspaper/7858.png,شوریٰ افغان کی موجودگی، 2 مئی کو ایبٹ آباد میں
data/raw/newspaper/7859.png,امریکی فوج کے خفیہ آپریشن کے ذریعے اسامہ کی ہلاکت
data/raw/newspaper/7860.png,نے قومی تاریخ پر گہرے اثرات مرتب کئے مگر پلڈاٹ
data/raw/newspaper/7861.png,نے تجزیاتی رپورٹ میں کہا کہ خارجہ تعلقات کمیٹی کسی
data/raw/newspaper/7862.png,ایک واقعے کو زیر بحث نہ لا سکی۔ خارجہ کمیٹی کے جس
data/raw/newspaper/7863.png,کے سربراہ اے این پی کے صدر اسفند یار ولی
data/raw/newspaper/7864.png,ہیں سال (یکم جولائی 2010 تا 25 اکتوبر 2011) میں صرف
data/raw/newspaper/8886.png,کردی ہیں اور پی آئی اے سے ان طیاروں کی
data/raw/newspaper/8887.png,سروس کا مکمل ریکارڈ طلب کیا ہے جبکہ مزید کسی
data/raw/newspaper/8888.png,پرواز کیلئے مخصوص ٹیکنکل سرٹیفیکیٹ کی شرط بھی لاگو کی
data/raw/newspaper/8889.png,ہے۔ ذرائع کے مطابق ان طیاروں کو بنانے والے فرانسیسی مینو فیکچر رزبی
data/raw/newspaper/8890.png,آئی اے کو تجویز کیا تھا کہ اگر ان طیاروں
data/raw/newspaper/8891.png,کو زیادہ درجہ حرارت والے علاقوں میں آپریٹ کیا جائے
data/raw/newspaper/8892.png,تو ان طیاروں کے انجنوں کو ٹھنڈار رکھنے کیلئے انہیں
data/raw/newspaper/8893.png,روزانہ دھونا چاہیے، جبکہ اس کے برعکس اس تجویز پر
data/raw/newspaper/8894.png,عمل نہیں کیا گیا تھا جس کے بعد متواتر اے ٹی
data/raw/newspaper/8896.png,کراچی (اسٹاف رپورٹر) کراچی چیمبر آف کامرس اینڈ انڈسٹری کے صدر محمد
data/raw/newspaper/8897.png,سعید شفیق نے فیڈرل بورڈ آف ریونیو کی طرف سے
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_50_PM.jpeg,دائرے میں گھومنے والوں کو کبھی منزل نہیں ملتی، اگر سمت درست کرنی ہو تو سب سے پہلے اس دائرے کو توڑنا پڑتا ہے، سوال یہ ہے کہ یہ دائرہ ٹوٹے گا کیسے؟ یہی وہ سوال ہے جس پر سنجیدگی سے غور کی ضرورت ہے۔
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_51_PM__1_.jpeg,کے جاتے ہی اس مکان لو دفنا دیا جاتا ہے کیونکہ یہ کسی اور کو کرائے پر نہیں دیا جا سکتا، اس کا آخری ٹھکانہ قبر ہوتی ہے جہاں سے اُسے یوم حشر اُٹھایا جائے گا۔ میں نے ایک دو ویڈیو دیکھی ہیں جن میں سی ڈی اے کے اہلکار قبروں کے کتبے اور تعویز اکھاڑ کر دوسری جگہ لے جا رہے ہیں کیا قبر صرف ایک سنگ و خشت کا جہاں ہوتی ہے؟ جس کا پتھر اکھاڑ کر جہاں چاہو لگا دو۔ یہ
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_51_PM__2_.jpeg,ہیں اور وینکور میں زندگی گزار چکے ہیں اس لیے انہیں یہ بات عجوبہ نظر آ رہی ہے انہوں نے ایک واقعہ سنایا کہ وینکور میں ایک سڑک بنانا تھی، مگر اس سڑک پر پیپل کے دو بڑے درخت راستے میں آتے تھے جب یہ تجویز آئی کہ ان درختوں کو کاٹ دیا جائے تو ایک طوفان برپا ہو گیا۔ لوگوں کی حد درجہ مخالفت کے بعد ان
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_51_PM.jpeg,بنائی گئی اور وہ درخت بچا لئے گئے۔ ہمارے ہاں اول تو درختوں کے قتل عام کا کوئی نوٹس نہیں لیا جاتا، لاہور جیسے شہر میں بھی سنگدل افسر صاحبان کسی سڑک کو بنانے کیلئے گھنے اور پرانے درختوں کے گلے کاٹ دیتے ہیں۔ یہ بھی کہا جاتا ہے درخت ہی تو ہیں اور لگا دیں گے اور اگا دیں گے۔ صاحبو! یہ بات ہضم ہوتی رہی ہے مگر یہ سی ڈی اے کو کیا سوجھی کہ دو سو قبروں کو اکھاڑنے کا منصوبہ لے آیا۔ ہمارے ایک پروفیسر
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_52_PM__1_.jpeg,نئی قبروں میں منتقل کیا جائے گا؟ اگر صرف کتبے اور پتھر منتقل کر کے قبروں کی زمین کو صاف کر دینا ہے تو پھر اس سے بڑا ظلم کیا ہو سکتا ہے کہ آپ اس جگہ کا نام و نشان مٹا دیں جہاں لوگوں نے اپنے پیاروں کو دفن کیا تھا اور ان کے جسد خاکی اب بھی اس زمین میں موجود ہوں گے۔ میرے خیال میں وفاقی دارالحکومت کے بارے میں ایسے فیصلے کرتے ہوئے سی ڈی اے کے
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_52_PM__2_.jpeg,مجالوں کی دنیا میں ہمارا نمبر پہلا ہے۔ مجال ہے کوئی ملک اس معاملے میں ہماری ہمسری کر سکے۔ میرے بڑے بھائی رائے محمد فاروق نے جب سے یہ خبر سنی ہے کہ اسلام آباد کے سوہان قبرستان کی دو سو قبروں کو دوسری جگہ منتقل کیا جا رہا ہے کیونکہ ان قبروں کی جگہ پر ایک راستہ نکالنا ہے جو سوہان کو گلبرگ گرین سے ملائے گا وہ انگشت بدنداں ہیں وہ چونکہ کینیڈا کے شہری ہیں اور وینکور میں زندگی گزار چکے ہیں اس لیے
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_52_PM__3_.jpeg,تاہم یہ سوہان قبرستان والا سی ڈی اے کا فیصلہ کچھ ہضم نہیں ہو رہا۔ عام حالات میں کسی قبرستان کا حکم عدالت سے لیا جاتا ہے۔ قبر ایک دن کی ہو یا سو سال کی، اُس کی حرمت کو ہر قیمت مدنظر رکھا جاتا ہے۔ سی ڈی اے کے وہ کون افسر ہیں جنہوں نے سڑک بنانے کیلئے قبرستان کی زمین پر شب خون مارنے کا فیصلہ کیا۔ دو سو
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_52_PM.jpeg,کے من میں آ جائے کر گزرتے ہیں اُس وقت انہیں پوچھنے والا کوئی نہیں ہوتا ہاں آگے چل کر وہ اگر تاریخ کے ہیر پھیر میں آ جائیں تو تاریخ یہ فیصلہ کرتی ہے کہ انہوں نے اچھا کام کیا یا بڑے ظلم کے مرتکب ہوئے۔ اس حوالے سے حالیہ دنوں میں دو مثالیں سامنے آ چکی ہیں۔ وفاقی آئینی عدالت نے کراچی کے نسلہ ٹاور اور اسلام آباد کے منال ریسٹورنٹ کو گرانے والے
data/raw/newspaper/WhatsApp_Image_2026-07-17_at_6_07_53_PM.jpeg,سرکار کے دریا سے روکے روچکے کا نقصان ان فیصلوں کی وجہ سے ہوا۔ کراچی کے نسلہ ٹاور میں سفید پوش لوگوں کے گھر اور فلیٹس تھے جن سے انہیں محروم کر دیا گیا، فیصلہ کرنے والے اُس وقت کے جج نجانے کس ترنگ میں تھے وہ فیصلہ کر کے چلے گئے۔ اب ان کا فیصلہ کالعدم تو ہو گیا ہے مگر اُس نقصان کا ازالہ کیسے ہو گا جو چکا ہے اتنے بڑے فیصلے کس آسانی سے کر
data/raw/newspaper/1.png,وانگچک کی بھوک ہڑتال کا اتنا ہزارے سے موازنہ
data/raw/newspaper/2.png,پہلے بھارتیہ جنتا پارٹی (بی جے پی) اپوزیشن میں تھی، جب کہ
data/raw/newspaper/20.png,یہ واقعی بہترعلامات ہیں۔
data/raw/newspaper/3.png,اب بی جے پی مرکز میں بر سر اقتدار ہے
data/raw/newspaper/4.png,سونم وانگچک نے 28 جون کو بھوک ہڑتال شروع کی تھی
data/raw/newspaper/5.png,دہلی ہائی کورٹ نے ایک پی آئی ایل پر سماعت کرتے ہوئے کہا
data/raw/newspaper/6.png,ملک بھر میں توجہ کا مرکز بنے ہوئے ہیں
data/raw/newspaper/79.png,پاکستان
data/raw/newspaper/8.png,کیونکہ 'ہر ایک شہری کی جان قیمتی ہے۔'
data/raw/newspaper/80.png,سندھ
data/raw/newspaper/81.png,پاکستان بننے سے پہلے، پاکستان بننے کے بعد، پاکستان بننے کے بعد
data/raw/newspaper/82.png,ب
data/raw/newspaper/83.png,کہانی شاہی اینٹ کی
data/raw/newspaper/84.png,یادگار عمارت
data/raw/newspaper/85.png,آپ کو اس دیوان کی خاص بات بتاؤں!
data/raw/newspaper/86.png,شیخ چلی نے انگریزی سیکھی
data/raw/newspaper/87.png,جو وعدہ کرو، اسے پورا کرو
data/raw/newspaper/88.png,ارض پاکستان
data/raw/newspaper/89.png,اخوت
data/raw/newspaper/90.png,ہمارے ہادی ہمارے رہبر خاتم النبیین ﷺ
data/raw/synthetic/img001.jpg,اور بازار سے لے آئے اگر ٹوٹ گیا
data/raw/synthetic/img002.jpg,گلزار اردو فونٹ
data/raw/synthetic/img003.jpg,اب اپنے آپ سے بھی چھُپ گئی ہے
data/raw/synthetic/img004.jpg,مہر تعلیق حالی خط
data/raw/synthetic/img005.jpg,الصبور
data/raw/synthetic/img006.jpg,ع
data/raw/synthetic/img007.jpg,شاگرد
data/raw/synthetic/img008.jpg,خواتین
data/raw/synthetic/img009.jpg,خواجہ
data/raw/synthetic/img010.jpg,الباقی
data/raw/synthetic/img011.jpg,بتول
data/raw/synthetic/img012.jpg,زبانِ اردو
data/raw/synthetic/img013.jpg,میمن
data/raw/synthetic/img014.jpg,صوف
data/raw/synthetic/img015.jpg,دائرے میں گھومنے والوں کو کبھی منزل نہیں
data/raw/newspaper/img016.jpg,اسرائیلی وزیر اعظم بنیامین نیتن یاہو نے عندیہ دیا ہے کہ وہ رواں سال نیویارک میں ہونے والے اقوام متحدہ کی جنرل اسمبلی کے اجلاس میں شرکت کریں گے۔
data/raw/newspaper/img017.jpg,نیتن یاہو نے انٹرویو میں مزید کہا کہ وہ تمام نیویارک والوں کے میئر ہیں خواہ وہ یہودی ہوں،
data/raw/newspaper/img018.jpg,سوموار کے روز ابراہیم عزیزی نے بیان میں کہا کہ یورپی یونین کی خارجہ پالیسی کی قیادت اور روسی وزیرِ خارجہ کے ساتھ گفتگو میں انہوں نے زور دیا کہ یوکرین کے اقدامات کا مناسب جواب دیا جائے گا۔
data/raw/newspaper/img019.jpg,ایران کے ربر اعلی مجتبیٰ خامنہ ای نے واضح کیا ہے کہ لبنان کی علاقائی سالمیت کا تحفظ ایران، امریکہ مفاہمت کی پہلی شرط ہے
data/raw/newspaper/img020.jpg,پیر کی صبح ہونے والی ٹریڈنگ میں تیل کی قیمتوں میں نمایاں کمی کا ریکارڈ کی گئی ہے۔
data/raw/newspaper/img021.jpg,ثالثوں کی جانب سے مذاکرات کی بحالی کے لیے سفارتی کوششوں کی اطلاعات بھی سامنے آئی ہیں۔
data/raw/newspaper/img022.jpg,بلوچستان کے ضلع چاغی میں نامعلوم مسلح افراد نے پانچ گیس باؤزر ٹرک نذرآتش کر دیے
data/raw/synthetic/img023.jpg,عامر
data/raw/synthetic/img024.jpg,متقدمة
data/raw/synthetic/img025.jpg,رهيفه
data/raw/books/img026.jpg,عمَّ يتساءَلون
data/raw/books/img027.jpg,لا تقنطوا
data/raw/books/img028.jpg,واللّٰہ
data/raw/books/img029.jpg,أثيم
data/raw/books/img030.jpg,لا يُحب
data/raw/books/img031.jpg,وأفوّض
data/raw/books/img032.jpg,إلى اللّٰہ
data/raw/books/img033.jpg,ما يقولون
data/raw/other/img034.jpg,جو لوگ صبر سے کام لیتے ہیں، ان کا ثواب انہیں بے حساب دیا جائے گا۔
data/raw/other/img035.jpg,بیشک اللہ توکل کرنے والوں سے محبت فرماتا ہے۔
data/raw/newspaper/img036.jpg,حالیہ ٹیکس ریفنڈ کے بعد ایپسٹین کے باقی اثاثوں کی مالیت اب 120 سے 150 ملین ڈالرز کے درمیان بتائی جا رہی ہے۔
data/raw/other/img037.jpg,ہر چیز جو زمین پر ہے فنا ہو جانے والی ہے۔
data/raw/newspaper/img038.jpg,حالیہ عدالتی ریکارڈز سے معلوم ہوا ہے کہ کرینا شولیاک کو اس ٹرسٹ کی بڑی شخصیات میں شامل کیا گیا تھا۔
data/raw/newspaper/img039.jpg,بعض تصاویر میں امریکی صدر نے خود کو اور امریکہ کو دنیا کا محافظ قرار دیا ہے جو دنیا کو ایران سے بچانے میں مصروف ہے۔
data/raw/newspaper/img040.jpg,ٹرمپ نے امریکی اسلحے کے ذخائر میں کمی کی خبروں کو مسترد کر دیا۔
data/raw/other/img041.jpg,منزلیں بہادروں کا استقبال کرتی ہیں
data/raw/other/img042.jpg,دائرے میں گھومنے والوں کو کبھی منزل نہیں
data/raw/other/img043.jpg,بڑی خوبصورت ہیں آنکھیں تمہاری ہم جیسے کتنے ہی ڈوبے ان میں
data/raw/other/img044.jpg,یہ نہ ہو کہ دھند میں کوئی گاڑی تمہارے اوپر سے گزر جائے۔
data/raw/synthetic/img045.jpg,پاکستانی نستعلیق کا صحیح اور معیاری فونٹ
data/raw/synthetic/img046.jpg,ساغرِ جم سے میرا جامِ سفال اچھا
data/raw/synthetic/img047.jpg,جھیل ہے کہ ساغر ہے یہ چشمِ فتن سمندر بھی کتنے ہوئے غرقاب ان میں
data/raw/synthetic/img048.jpg,اردو ایک پیاری زبان ہے
data/raw/synthetic/img049.jpg,اور بازار سے لے آئے اگر ٹوٹ گیا
data/raw/other/img050.jpg,ہیں جو کبھی گلزار تھیں اور اب محض ایک اجاڑ بستی کا منظر پیش کرتی ہیں۔
data/raw/signboards/img051.jpg,داخلہ جاری ہے
data/raw/synthetic/img052.jpg,ہفتہ
data/raw/synthetic/img053.jpg,نفیس پاکستانی ویب نسخ فانٹ
data/raw/other/img054.jpg,ادھار مانگ کر شرمندہ نہ کریں۔
data/raw/synthetic/img055.jpg,اب اپنے آپ سے بھی چھُپ گئی ہے
data/raw/other/img056.jpg,نیکی کی باتیں ہی کرتے کبھی کسی کا دل نہ دکھاتے
data/raw/other/img057.jpg,پریت کا وعدہ کر کے پیا نے پریت نبھانا چھوڑ دیا مہرنے اکھیاں پھیر لیں دم دم کا سانا چھوڑ دیا
data/raw/other/img058.jpg,زندگی کی راہوں میں رنج و غم کے میلے ہیں بھیڑ ہے قیامت کی پھر بھی ہم اکیلے ہیں
data/raw/signboards/img059.jpg,خاموش رہو
data/raw/books/img060.jpg,چار برہمنوں میں گہری دوستی تھی۔
data/raw/signboards/img061.jpg,میری مرضی
data/raw/signboards/img062.jpg,یار تنگ نہ کر
data/raw/signboards/img063.jpg,زیادہ فری نہ ہو
data/raw/other/img064.jpg,شرم کی کشش حُسن سے زیادہ ہوتی ہے۔
data/raw/other/img065.jpg,مخلص لوگ چونکہ بناوٹ سے دور ہوتے ہیں
data/raw/signboards/img066.jpg,قضول بیٹھنا منع ہے
data/raw/other/img067.jpg,خوش قسمت ہوتے ہیں
data/raw/synthetic/img068.jpg,تہجد
data/raw/other/img069.jpg,آپ جا سکتے ہیں۔
data/raw/synthetic/img070.jpg,بہترین صبر
data/raw/other/img071.jpg,ہر دن نیا موقع ہے
data/raw/other/img072.jpg,تقدیر بدل جائے گی راتوں کو اُٹھ
data/raw/other/img073.jpg,تماشہ یہ تھا کہ تماشائی اپنے تھے
data/raw/other/img074.jpg,سب کو سب نہیں ملتا۔
data/raw/other/img075.jpg,کون سیکھا ہے صرف باتوں سے سب کو ایک حادثہ ضروری ہے
data/raw/other/img076.jpg,الفاظ کم، عمل زیادہ
data/raw/other/img077.jpg,ہم کہاں جائیں سادگی لے کر
data/raw/other/img078.jpg,بھلا دوسری بارش میں مٹی مہکتی ہے کبھی
data/raw/other/img079.jpg,وہ احساس ہی کیا جو دلایا جائے
data/raw/other/img080.jpg,دل بیزار ہے دنیا کی فریبی رونقوں سے!
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_12_42_07_PM.jpeg,مشکل ہے۔
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_12_42_28_PM.jpeg,صنعتی گاڑیوں کا داخلہ ممنوع ہے
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_12_44_31_PM.jpeg,سراب
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_12_44_45_PM.jpeg,عربی گرامر
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_12_44_58_PM.jpeg,قرآن مجید
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_12_49_52_PM.jpeg,خدا
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_12_50_02_PM.jpeg,اردو کے بہترین شخصی خاکے
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_12_52_36_PM.jpeg,المر
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_01_PM__2_.jpeg,اور اختتام یہ کہ دل اب کچھ نہیں چاہتا۔
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_01_PM.jpeg,آزمائے گئے ہو تو نوازے بھی جاؤ گے
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_02_PM__1_.jpeg,تکلیف بتانے میں بھی تکلیف ہوتی ہے۔
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_02_PM__2_.jpeg,میں اپنی ہی الجھی ہوئی راہوں کا تماشا ہوں
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_02_PM.jpeg,ہر پسندیدہ چیز خوشی نہیں دیتی
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_03_PM__1_.jpeg,دھول جتنی بھی اونچی ہو جائے آسمان کو گندہ نہیں کر سکتی
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_03_PM__2_.jpeg,ہم صورت گر کچھ خوابوں کے
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_03_PM.jpeg,میں نے حقیقت سے زیادہ کسی چیز کو تلخ نہیں پایا
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_04_PM__1_.jpeg,بس اگلے موڑ سکون ہو گا چل زندگی تھوڑا اور چلیں
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_04_PM__2_.jpeg,خوب ہوتی ہے گفتگو تم سے، تم سے جب گفتگو نہیں ہوتی
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_04_PM.jpeg,نہیں نگاہ میں میری غزل، تو جستجو ہی سہی۔
data/raw/newspaper/WhatsApp_Image_2026-07-27_at_2_18_05_PM.jpeg,مجھ سے پہلی سی محبت مری محبوب نہ مانگ
